question,answer_a,answer_b,answer_c,answer_d,correct
What is the capital of France?,London,Paris,Berlin,Madrid,b
What is 2 + 2?,3,4,5,6,b
Which element has the symbol O?,Oxygen,Gold,Silver,Carbon,a
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,c
In what year did World War II end?,1943,1944,1945,1946,c
Who painted the Mona Lisa?,Michelangelo,Leonardo da Vinci,Raphael,Donatello,b
What is the speed of light in vacuum?,299792 km/s,300000 km/s,150000 km/s,200000 km/s,a
How many continents are there?,5,6,7,8,c
What is the chemical formula for water?,H2O,CO2,O2,H2,a
Who wrote Romeo and Juliet?,Charles Dickens,William Shakespeare,Mark Twain,Jane Austen,b
What is the square root of 144?,10,11,12,13,c
Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,d
What is the boiling point of water at sea level?,90°C,95°C,100°C,105°C,c
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Stephen Hawking,Nikola Tesla,b
What is the smallest prime number?,0,1,2,3,c
How many days are in a leap year?,364,365,366,367,c
What is the capital of Japan?,Seoul,Beijing,Tokyo,Bangkok,c
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,b
What is the largest mammal on Earth?,African Elephant,Blue Whale,Giraffe,Polar Bear,b
Who was the first President of the United States?,Thomas Jefferson,John Adams,George Washington,Benjamin Franklin,c
